Emotion,Text
joy,"@theclobra lol I thought maybe, couldn't decide if there was levity or not"
joy,Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day. #laughter #challenge #kashmir #baloch
joy,Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day.  #challenge #kashmir #baloch
joy,@tomderivan73 😁...I'll just people watch and enjoy a rare show of optimism
joy,I love my family so much #lucky #grateful #smartassfamily  #love
joy,I love my family so much #lucky #grateful #smartassfamily #hilarious #love
joy,"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster."
joy,"If any trump supporters and Hillary haters wanna chirp some weak minded, pandering liberals just tweet at @EmmyA2 @snickerfritz04"
joy,Google caffeine-an sprightly lengthening into the corridor re seo: WgJ
joy,"This tweet is dedicated to my back pain, which I do not understand because I am youthful and spry. Full of life. Vivacious."
joy,@Bluebelle89 @lsmith855 liking the optimism
joy,"Be it a rainy day, be it cheerful sunshine, I am a Prussian, want nothing to be but a Prussian.:|"
joy,@Gronnhair @buryprofs @DittoBistro it was indeed lovely and the team were incredibly attentive and on the ball. Cheese was a lively gesture!
joy,"@Geminiak @LondonNPC you're welcome! #wordgeek \nAlso, good to put a face to the twitter feed, even if it was only a cheery hello! 😀"
joy,"...at your age, the heyday in the blood is tame...' @TheArtofCharm #shakespeareaninsults #hamlet #elizabethan #williamshakespeare"
joy,i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩
joy,"Good #CX most often doesn't require all that much. #smile, #care, #relate and be #helpful. Thanks, Lakis Court Hotel in #cyprus"
joy,4-2 Canada final tomorrow #WCH #Predictions #optimism #Canadian 🇨🇦
joy,I turn 25 in two weeks. I am so happy. 24 was my darkest year yet. I am elated that I survived
joy,"TheNiceBot: IndyMN I thought the holidays could not get any more cheerful, and then I met you. #TheNiceBot #الخفجي"
joy,The smell of freshly cut grass didn't even cheer me up...boy oh boy
joy,@NateBLoL no it was that clear American naturally flavored sparkling water
joy,"A cheerful heart is good medicine, but a broken spirit saps a person's strength.' {Proverbs 17:22} #WednesdayWisdom"
joy,Somebody who has braved the storm is brewing. #cheerful
joy,Somebody who has braved the storm is brewing. 
joy,"Ready for that nice, breezy, calm, sunshine weather.🍂🍁 #Autumn"
joy,"it gets better. without explanation; you just wake up one morning and you’re just happy, totally and utterly elated."
joy,"Imagine how sad LA fans are gona be when they get eliminated...Man that's gonna be Nirvana, a religious experience rejoicing in their misery"
joy,Heather that was #hilarious! @MsHeatherBates @pattonoswalt @chrishansen #AnthonyWeiner #15gets20 #NYC
joy,Val reminds me of one of the cheerful witches that looks after Aurora in Disney’s Sleeping Beauty. #GBBO
joy,@GameGrumps THANK YOU SO MUCH FOR COMING TO DETROIT I'm going to sob joyful rainbows now brb
joy,So far ours greet have raised £250 for @HGatChristmas with more to come in #sparkling @CllrJohnFox @simoncotton69
joy,Each day is what you make of it! #goals #challenges #business #goals   #success #photographer #photography #ThursdayThoughts
joy,Each day is what you make of it! #goals #challenges #business #goals #optimism #happy #success #photographer #photography #ThursdayThoughts
joy,"If you don't respond to an email within 7 fays, you wifl be killed by an animated gif of the girl from The Ring."
joy,"It's #HobbitDay! \nHobbit's give gifts on their birthdays, so I'm sharing the gift of #glee today! Find something that makes you happy!"
joy,incredible that anthony weiner has been caught chasing a busty milkmaid across a park at double speed while jaunty music plays
joy,"@len_snart Mick nods. 'I would like that.' He went back to his food, smiling as he finished it."
joy,@yungdoujin wouldn't that basically be sparkling water
joy,"I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!"
joy,@HunterDean_ [he gives a gleeful squeak and wraps around you] All mine!
joy,"@diehimbeertonis She developed her 'forced smile'. I can force myself to describe it 'a little hearty maybe, sanki biraz':)"
joy,"When we give cheerfully and accept gratefully, everyone is blessed. »Maya Angelou"
joy,A #new day to #live and #smile. Hope all the #followers a nice #night or #day. :D
joy,"@DocBellsSwan *peers down at you, eyes crinkling with mirth and affection* I do love ye so, my bonnie Belle."
joy,@bruins_514 @gorddownie @thehipdotcom It would be #TragicallyHip if they can #help @TOYSFORASMILE make #hospitalized  #sick #kids #smile 😊✌❤
joy,Chris would take full responsibility and would want us all to rejoice in the memories we all had with him.
joy,@Communism_Kills i get the subway melt and make sure it's only hearty italian bread... black olives are a must though
joy,@hesham786 that's the spirit #optimism
joy,@hesham786 that's the spirit 
