Emotion,Text
sadness,"Yet the dog had grown old and less capable , and one day the gillie had come and explained with great sorrow that the dog had suffered a stroke , and must be put down . "
sadness,When my family heard that my Mother's cousin who lives in England wrote us to tell that he had cancer of the lymph glands.
sadness,"When I see people with burns I feel sad, actually I can not even express my feelings as I think that they must suffer a lot."
sadness,One day I heard from a friend that the boy I loved had gone out with her and not with me.
sadness,"Upon moving away from home for the first time to a different city, I felt no longer \under the wing\"" of my parents even though they would always be there to help me. I felt a sense of loss, I was now all alone in the world, responsible for my own actions."""
sadness,"When I learnt that I had failed an exam,  This not only influenced my emotions but also other important tasks, it also made my record imperfect."
sadness,"My little cat which I had raised all by myself, hanged itself when playing in the garden."
sadness,"` After he got back I felt like I was in a black hole , "" groaned a disconsolate Wilkinson after his two hour defeat . "
sadness,When India lost the Benson and Hedges cricket trophy.
sadness,A case of unrequited love.
sadness,"The death of my father, even though we had not been very close to each other."
sadness,"As Joe and Biddy became a little more cheerful , discussing my possible plans for the future , I became more miserable . "
sadness,"If someone mentions things like ration books , powdered egg , air raids and so on , my stomach turns over and I feel quite depressed . "
sadness,"If she had been paying more attention to his face she might have believed that his deeply shocked , anguished expression was not an act , put on for her benefit . "
sadness,Finding out about the university does not have enough foreign currency to buy the yournals in your reference list.
sadness,I was very sad when I was shouted at by Uncle and was told that I was not to be given school fees because I didn't go to work in the garden since I had gone to escort my sister to the bus depot.
sadness,When one of my best friends commited siucide during these holidays.
sadness,"Doctor , I slipped and fell on my way to school . The ground is so slippery from the snow . It seems I can't move my left arm now . "
sadness,"Inevitably some become despondent , fearing they will never work again . "
sadness,When I was told that my friend's wife had cancer.
sadness,When our dog died.
sadness,"` It is a long time since anyone cared for you as tonight you cared for Ana , is it not ? "" he asked softly , his hand coming to tilt her downcast face . "
sadness,I was selected to do a rest for a foreign ballet but I did not have the money to do it.
sadness,"When my boyfriend was changing his behavior there was something wrong, I felt sad, because it's desagreable when a relationship is ending."
sadness, That ’ s a little troublesome . 
sadness,When I heard that my friend had started drinking beer.
sadness,I felt sad and depressed when I heard that our cat had died.
sadness,My best friend had a relatively severe illness.  I was sad because she was suffering.
sadness,Hearing about a friend back home that had to have his stomach pumped because he had overdosed on pills.
sadness,LEE SHARPE last night relived the anguish of discovering he had a disease which he feared could not only end his career -- but kill him . 
sadness,"Talking to a pensioned and bitter \street order\"" policeman."""
sadness,I was so desolate about Chip . 
sadness, That ’ s a pity . We can arrange another time hopefully . 
sadness,"When my grandmother, who has been living with us for 14 years, had a stroke and was left paralysed on one side. She has been quite close to our family and to see her suffer in this way makes me feel really sad."
sadness,"After having left the company of someone who gave me a lot of support and made me laugh, found myself alone for days on end."
sadness, What kind of solution can I have now ? I nearly go crazy now . 
sadness,A woman I know is slowly dying from cancer. Observing this process makes me sad.
sadness," Oh , that's terrible ! What bad luck ! I wish we had never come to this country.But , if it isn't the strikes and the revolutionaries , it's the earthquakes.Our operations here are finished ! "
sadness,When my best friend promised to come at my house and I had to prepare so many expensive things for her but only to learn at last that she would not turn up.
sadness," Unfortunately , I missed a chance to see a classic movie . "
sadness," Yes , but there is nothing inside the drawers or on the desk . "
sadness,A few months a close relative of mine died.  I had never expected this to happen and was sad for a few months.
sadness,But he 'd become depressed about his exams and couldn't concentrate on his work . 
sadness,That certainly didn't sound serious enough to account for her great grief . 
sadness,Years ago I fell in love for the first time. as natural for every school-girl I was day-dreaming. Later (after 3 years) we left each other. No one was to blame but I felt deep sadness. Even now I remember about it quite often.
