Emotion,Text
joy,Finding out I am chosen to collect norms for Chinese aphasia (I will contribute to China's catching up with the West in neuropsychology).
joy,Connor 's voice was gleeful . 
joy,` I am very happy with the way I am playing but I accept that he believes he should be England 's fly-half . 
joy,Spontaneous picnic with sister and friend and children - great.
joy,"Good morning , Mary ! "
joy, Say hi to your family for me . 
joy,"At a party, on New Year's Eve, I met on old friend whom I had not seen for some time"
joy,When I saw a person I had not seen for a long time.
joy,When I look at people around and know that people who are stupid look stupid.
joy,When I was admitted to the University.
joy,"I saw him return this morning , so pleased with himself . "" "
joy,"Achieving my goal at a swim meet. I worked toward the goal for 9 yrs. I was capable of achieving it, but I didn't know when."
joy,After a difficult exam. When I had not hoped to take it and had got a high mark. When you present someone with something and he feels glad.
joy,My sister had a daughter. I saw the baby for the first time through a pane of glass and she looked at me.
joy, It deserves . That film can give us a lot of inspiration . 
joy,"He also said , to the delight of those Nonconformists who read his memoirs , that Watson 's tour was far more successful than Matthew Arnold 's . "
joy," How do you do , Ms . Yang.You speak very good English . "
joy, I'll tell you all about it next Monday . 
joy,When my brother was born.
joy,"The celebration of sexuality found in the works of Sidur , Neizvestny and others , stemmed partly from the mischievous delight in taunting society 's taboos . "
joy, Fantastic ! I didn't want to come back . 
joy,When my term paper was evaluated.
joy,A party with friends on New Year's Eve.
joy, I think I will . Thanks for the info . 
joy,"Riding home from school after completing two midterms in two days, and feeling I did well on them."
joy,I am happpy when I get good results in the field of academics or athletics.  
joy, That ’ s a good way to think about it . 
joy, Yeah . It is incredible ! Is it the work of Qi Bakshi ? 
joy, Wow . We don't get to see this in the city ! 
joy,"Modigliani , delighted with the atmosphere of warmth and sincerity , resumed his friendship with Soutine and her . "
joy,I felt very happy when I won the football pools.
joy,When I had achieved a goal indirectly. I work for CAL Football and our 2nd win of the season was very gratifying and brought our joy because of the hard work involved and the fact that no one expected we would win.
joy,When I received a beautiful birthday gift form my parents.
joy,"After my vacations, one day after a lecture it occured to me to buy a rose for my mother.  We went together to a pub and my mother told me that she would be getting married next Spring.  I did not known about it and so was all the more glad."
joy,After I had been away for a long time a friend told me that I had passed all my written examinations.
joy,"You look so happy , Anna . Any good news ? "
joy, Here is a good place . Let's get out . 
joy, Forsythia . It's also called winter jasmine which is the symbol of the spring's arrival . 
joy,I was very happy when I got the message that I had been accepted as a student in medicine.
joy, You can ask me any question at any time . 
joy," And my first nephew . He looks a lot like you , mum . He does . "
joy, What's your favorite flower ? 
joy,You look so tan and healthy ! 
joy,"I went swimming , and I was so happy I cried into the sea for three-quarters of an hour . "
joy,Watching the Asian Olympic game (China winning).
joy,When I came across an old friend whom I had not seen for a very long time.
joy,Always when I meet the person I love.
joy,After each successfully passed exam I am happy.
joy,I shot the decisive goal in an ice-hockey match.
joy,Passing an exam I did not expect to pass.
joy,"Suddenly , to her relief , the telephone rang , Joanna picked it up , wrote down the message , and came back to the table , looking elated . "
joy, That ’ s it . Thank you . 
joy,I got a present from a great friend (a dog).
joy,"` Now that I 've seen the finished copy I 'm delighted that I encouraged Susan to write it , "" said Mrs Major . "
joy," Great idea ! Peter , I could use the drink . "
joy," Got it . Thank you , Shirley . "
joy,"Vitor went down on his hunkers and , much to the child 's glee , spent a minute or two admiring the toy . "
joy,He was exhilarated when he heard Ornette Coleman improvising free jazz with his plastic saxophone at a club .
joy, Amazing . The sun is almost gone and yet there is still color everywhere ! 
joy,"It was also due to a barbaric delight in high-sounding verbiage , and probably this was the most powerful reason for its use . "
joy, Do you guys do anything special ? 
joy,When I saw my family after a separation of one year.
joy,"` Poor things , no life of their own , "" they say , simultaneously thrilled and appalled as they pore over the latest ` revelations "" in the Mail or Express . "
joy,Meeting best friend at the airport (boyfriend) who I had missed terribly.
joy,What a nice tie you are wearing ! 
joy,Winning Queensland Chess Championship.
joy, How's your married life ? 
joy,When I first came to the campus.
joy,"I felt joyful when my boyfriend met me at the station, while at first he had said that he would not do that."
joy,"Merry Christmas , Bill ! "
joy,A party with no worries (i.e. no tests homework etc.) many friends were present and good music.
joy,I didn't like my former fob and felt joy when I received a telegram offering me a new one that I though better and for which I had been waiting.
joy,Pretty ! Say beautiful rather . Can you imagine any thing nearer perfect beauty than she altogether-face and figure ? 
joy," Apparently Skipper landed , felt extremely pleased with himself and threw an enormous buck with a twist in it . "
joy, I would like to compliment you on your diligence . 
joy,"When I got an unexpected letter from  a guy, who had been my school mate."
joy,These days he is quite happy travelling by trolley . 
joy,"My boyfriend suffered form ill health for some months, this week the physician told him that he was restored to health."
joy,I felt extreme joy the day I was baptized. I was one with God.
joy,I was happy that I was having my own baby but sometimes I used to cry for nothing and I was easily upset . 
joy,When you told everyone in the last lecture you will do all lectures again in English and everybody can come (not only English classes)
joy, Let's hope this stroke of good luck lasts . I hope we are over our financial difficulties for good . 
joy,When we got a young dog.
joy,I felt glad when I took the rather difficult organic chemistry examination.
joy," Sounds good . The food there is fantastic , too . "
joy,"More then 40,000 ecstatic fans filled stadia each night to scream at the girly they instantly dubbed the Mighty Minogue . "
joy, Make it three cups . Here comes Harry . 
joy,"In the last 10 days of the trail , however , he became much happier to take risks , although babies remained unkissed . "
joy,When I was admitted to the Chinese universiity.
joy,When I received my U.E. accredited as I was totally unexpecting it and I was so happy.
joy,What a nice day ! Why don't we go for an outing ? 
joy,When I received my promotion letter.
joy," It ’ s fine . I am actually from Mexico . I was in China on a business trip , visiting some local companies that manufacture bathroom products . "
joy,When I won the first prize in a cross country race.
joy,When I succeded in establishing a contact with a girl (who is now my girlfriend).
joy,"After my marriage I received the B.Sc results by post, I was very happy to learn that I had got very good marks - first class."
joy, Sounds good . 
joy,"Hello ! I'm Penny , I moved here just now . "
joy,Naturally when I got myself discharged this was my second birthday.
joy,When I received a letter from the university telling me that my application had been accepted.
joy,"One night, at a friend's place I realized that I had everything I most wished, around me."
joy, Autumn is also very nice in Washington . 
joy,Getting University Entrance accredited and arriving home from boarding school on accrediting leave.
joy," That's a good idea . Let's see if we can get more people in this plan . There isn't much business these days anyway , so I think many people will be interested . "
joy, I do like Thai food . Did you see much of Bangkok ? 
joy,"Delighted about Jim , apprehensive for Jasper , Alice lay for a long time awake in the silent room . "
joy,"The advertisements appeared in Novoye Russkoye at the weekend , causing a buzz of excitement in the Soviet expatriate enclave of Brighton Beach , also known as Little Odessa . "
joy,When I passed my B.A exams.
joy,"The simple , laughing islanders subsequently worshipped it as a god , much to the amusement of their more sophisticated neighbours . "
joy,He felt both elated and frightened . 
joy,"I had a quarrel with my fiancT. When he admitted his fault, everything was allright. It was then for the first time that he surprised me with coffee and cake and a bunch of flowers."
joy,My old boyfriend - yes the same one - asked me out. We had a good time. Then he asked me out the following week. He actually took interest.
joy,"He even telephoned Wexford to tell him about it , his elation subsiding somewhat when he heard the chief inspector had also found this out three hours before . "
joy,"Delighted at having gained his complete attention , Lori squirmed in her seat . "
joy,When my boyfriend and I experience something nice or when we have made a nice walk together.
joy,I made dinner for some friends and they appreciated it very much.
joy, Last night 
joy,"She was really pleased when she came back and found him fighting fit , even though he was still using one wing as a crutch to support his crooked leg . "
joy,The time when my sister had her first baby I was so happy and joyous because she stayed for two days after marriage before she had a child.
joy,I felt joy when I was admitted to the Higher Agricultural Institute.
joy,"Elizabeth 's face lit up , as she told him of Martha 's excitement over the clothes sent by Tamar . "
joy,Have you seen that house ? 
joy,A friend came to tell me that her father invited me to go on holiday with them in Benidorm otherwise I could not afford to go on holiday.
joy,"A friend of mine that is abroad undertook recently an axam to enter on University in Dallas, and was approved."
joy,She washed the floor thorough and was pleased she had done so . 
joy,"Her elation took her into her clothes , back to the kitchen to leave Phoebe a scrawled memo , and out of the front door . "
joy, Good.So we don't have to work.How nice ! 
joy,When I was accepted as a student.
joy," Yeah , there isn ’ t a bad seat in the place . "
joy," OK , Mum . I'll invite my friends home . "
joy,When I received a letter of acceptance to CAL.
joy,Good dinner on the National Day.
joy,"I feel excited when I come up with something that I can have Jack to help me with , I 'm always ready to hear what he has . "
joy,"When I got a first class in the twelveth standard exams, I was very surprised and happy and I had a very good time with my friends."
joy,When I passed the driving test after three failures.
joy, I love stir fry crispy bitesize vegetables covered in a mixture of soy sauce and oyster sauce . Wilted greens and fresh bean sprouts . Throw in some onion and garlic and ginger ! Mmm ! Mmm ! It ’ s almost lunchtime . I would die for a plate of stir fry right now ! 
joy,"When my nephew was born. The birth was hard, it was a big baby."
joy,` The problems start when he becomes more excited and frisky than usual . 
joy,When my favourite football team made a goal and was about to win the Cup of England.
joy,"One evening, I was with a group of friends having a talk.  There was a very trustful and joyful atmosphere."
joy, Sure . Which button do I press to shoot ? 
joy,"Eating biscuits and drinking Milo (Chocolate energy drink made with milk and usually drunk warm) with my friend at College. We get on really well, don't withold any feelings about each other's friends and are pretty good at cheering each other up when we are homesick."
joy,Contented workers are more likely to be profitable . 
joy,"At that stage , Sunderland were good value for the lead and Mr Crosby must have been a contented man . "
joy," A lot . I probably got to moonlight for the rest of my life , but so what , it ’ s worth it . Come on , get in . Let ’ s take a drive . "
joy,I felt thrilled to be back in Abyssinia and stared entranced at the arid landscape of the Danakil desert . 
joy,I learnt from the newspaper that I had been accepted at the Chinese university of H.K.  It was 7 o'clock in the morning.  Later I told my family and relatives about it and had tea with them very joyfully.
joy,Found out that me and my best friend are both chosen for the English lectures.
joy," Oh , good . If you could come around six thirty or seven o'clock , that would give us some time to chat a whit over a glass of wine before dinner . "
joy,"A friend said : ` Joan is thrilled Katy has found such a nice chap . "" "
joy," This is interesting , Ms.Parker . "
joy,"An ex-colleague asked me if I was interested in working in their accounts bureau.  They needed \clever people\"" and he had \""immediately thought of me.\"""""
joy,When I passed the grade 7 exam.
joy,I was happy when I understood that the girl I liked was in love with me.
joy,Looking down at the dead man Wycliffe felt guilty because he was experiencing a sense of mild elation . 
joy,Within the next few months -- and long before the next election -- they will have to settle these questions or see the spectre of the Winter of Discontent raised to haunt them by gleeful Conservative politicians . 
joy,When I gave birth to my son and saw that he was alive and that I had managed it well.  He was born a month too early with a malfunctioning lung.  This happened a year ago.
joy, Let's get a soft drink . 
joy,I was very happy when I passed the B.A with first class marks.
joy,I sensed this feeling when I passed successfully the second tour of a competition.
joy, Thank you . But I don't think I'll bother . 
joy, Sounds nice . 
joy,"Hi , Mary , long time no see . "
joy,"Hi , Mr . Wang . Do you feel like going boating with me ? "
joy,When my son was born.
joy," I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! "
joy, See you on Moday . Have a great weekend . 
