Emotion,Text
anger,"She disliked the intimacy he showed towards some of them , was resentful of the memories they shared of which she was not a part , and felt excluded . "
anger,"A spokesperson said : ` Glen is furious that the new ` Anarchy "" promo features footage of Sid Vicious as well as himself . "
anger, Very funny . What's wrong with you today ? You are my secretary and you are not supposed to talk to me in that tone of voice . Do you know that ? 
anger," No , you used to be . But not now . You are in love with someone else . You are in love with my friend , Janet . You appreciate her very much . You think she is beautiful and fun to be with and you think I ’ m dumb and uninteresting . "
anger, Wow ! Why so much ? I thought they were getting you an assistant . 
anger,"A few months ago when I was teaching, I suddenly became very angry at the children and slapped some of them."
anger,When my sister lost my favourite jumper at a party and failed to tell me for several days after it happened.
anger,Stock investors were not miffed by the frantic currency markets .
anger,When I failed the M.S.C exams.
anger,Once in my work it happened a fight between the person in charge and me. I got so angry and spoke out everything I felt at the moment.
anger,When I missed the tram after having run for it.
anger,"The more resentful and unforgiving Willie Morgan , was taken to court and then had to terminate a lucrative six year contract after only nine months . "
anger,"That may not , however , be enough for the offended partner . "
anger,This feeling occurred to me when my colleague entered in G.V. (University) and I didn't.
anger, Just look ! In six short weeks I've put on 30 pounds of pure muscle . 
anger," I don ’ t understand how you can have any sympathy for show biz stars . They ’ re overpaid , over-ambitious , and over-adored . "
anger,I was with my girlfriend when some guys that I don't like made fuss at my girl.
anger,"I faced this feeling when I realized I wasn't admitted to the institute in the first classifying, in spite of the high mark I had got at the entrance examination. "
anger,I had to unscrew something on my car. I didn't succeed after two afternoons of trying. A feeling of anger built up itself.
anger,"My partner without discussing with me the situation decided it was time for us to have a break and went ahead and arranged his own life for the next 6-12 months, then told me the day before it was about to happen having been tolerant and friendly for the preceding week."
anger, a bit ? I'm extremely annoyed that he didn't phone me when he promised me that he would ! He's such a liar . 
anger, I want my money back for the delivery . 
anger,"I get angry when someone imputes on me things I never can do, naturally negative. Servility, \connections\"", impudence, traits that get me mad."""
anger,I recall thinking that I had to be home soon or Mother would be angry at me for missing supper . 
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died.  I could not  understand how normal people could behave in such a way."
anger,"When a person is privileged in account of situations that are unjust, and disloyal to colleagues and friends."
anger," What do you expect ? I've been working for you for three years , and you've never given me a holiday . I don't feel well today , because I have a terrible headache . I am not in the mood for being gentle and polite . If you can't stand it , it's your problem . I am not going to change , because I think it suits you best . "
anger,I am fed up with Jack . He is so weak in dealing with other people and always eats dirt . 
anger,"But I don't want an indignant boyfriend on my doorstep breathing fire . "" "
anger,"I wanted to go to a friend of mine who had a party; at the moment I wanted to leave, my father said I couldn't go because he needed me for some work in the afternoon."
anger,"` Because she still sounded mad at me , and I thought you might try to dissuade me . "
anger, That works for me ! 
anger,Found out that someone I knew well has been misunderstanding me for 2 years.
anger, How can believe it if the same excuse was used twice within a week ? 
anger,When people would tell me that my ex-girlfriend was playing around on me.
anger,"Peter says : ` The Poles were furious that we wanted to show prostitutes in their hotel bar , claiming they never had them . "
anger,"I quarrelled with my brothers (twins) at home on saturday.  One of them studies in a private school and the other one is repeating his form five.  They do not know what they are doing.  They follow every word of their teachers, books and systems.  They always try to rationalize their bad acts by some game and they are satisfied with their awkward life.  I have tried to persuade them very often but have failed.  This time I had a fight as they have no voluntary spirit (they did not polish the floor)."
anger,"The landlord had selected a new lodger on her own, while we used to do that it was not what she had done, but how she did it that made me angry."
anger,I was angry with a person who behaved terribly at a ball offending her relatives.
anger,"When my father phoned me to come home from my vacation, since he no longer had the time to look after my garden and animals."
anger,hate U
anger,"When we still attended school, my brother and I usually went to see our aunt and to show her our term's report. She rewarded us with money. Although my reports were as good as my brother's, he got more money."
anger,My sister once stole my mother's money and made her very angry.  After this my mother would beat her up for unreasonable reasons.  One day my sister lent her book to a friend without telling my mother about it.  When my mother learnt this she beat her up and even threatened her with a pair of scissors.  
anger,"I am spell-bound by the sound of French , infuriated when I can't read it in the books I am given . "
anger, I know ! I was in ankle deep water trying to get to my car that day ! The handyman definitely has his work cut out for him . 
anger,In a course I thought that I deserved good marks but I only got ordinary marks with no justification as to why I was given these marks.
anger,When my boyfriend sat up half the night playing computer games with a friend.
anger,At an office an application that I had made was turned down because of a scrupulous interpretation of the rules.
